Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Itens Cancelados (Tarefas%2035631d51a2bd48b992678042ebb44814/Itens%20Cancelados%20af442d98a3454b7a866b454107885d89.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Itens Cancelados (Tarefas%2035631d51a2bd48b992678042ebb44814/Itens%20Cancelados%20af442d98a3454b7a866b454107885d89.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Retirada de Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Retirada%20de%20Caixa%208c2420d570a94da4b03d085995500480.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Reforço de Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Reforc%CC%A7o%20de%20Caixa%203e23911f86b24bf8af69037fb4f94806.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%20d4a270a8eb084ab088b253559a3eee55.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%20d4a270a8eb084ab088b253559a3eee55.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%20d4a270a8eb084ab088b253559a3eee55.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Processamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Processamento%20935f821789af465faeea9cd3e5706b4b.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Processamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Processamento%20935f821789af465faeea9cd3e5706b4b.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20da151f758ba64a3b82bf9cc09399bc6a.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20da151f758ba64a3b82bf9cc09399bc6a.csv),
Por Categoria de Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20da151f758ba64a3b82bf9cc09399bc6a.csv),
Por Grupo de Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20da151f758ba64a3b82bf9cc09399bc6a.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20da151f758ba64a3b82bf9cc09399bc6a.csv),
"Por Categoria ",,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%20d4a270a8eb084ab088b253559a3eee55.csv),
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%20d4a270a8eb084ab088b253559a3eee55.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%205c159aa5762c4aafa2bdcedeec46edc6.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%205c159aa5762c4aafa2bdcedeec46edc6.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%205c159aa5762c4aafa2bdcedeec46edc6.csv),
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%205c159aa5762c4aafa2bdcedeec46edc6.csv),
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%205c159aa5762c4aafa2bdcedeec46edc6.csv),
Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Venda%20d0ed5ca6974849df890d58df096fbc45.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Venda%20d0ed5ca6974849df890d58df096fbc45.csv),
Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Venda%20d0ed5ca6974849df890d58df096fbc45.csv),
" Categoria",,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Venda%20d0ed5ca6974849df890d58df096fbc45.csv),
Condição de Pagamento,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Venda%20d0ed5ca6974849df890d58df096fbc45.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Média de Itens (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Itens%205a17fec4f3144114b5838076f57a66d8.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Média de Itens (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Itens%205a17fec4f3144114b5838076f57a66d8.csv),
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Média de Itens (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Itens%205a17fec4f3144114b5838076f57a66d8.csv),
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Média de Itens (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Itens%205a17fec4f3144114b5838076f57a66d8.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Média de Itens (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Itens%205a17fec4f3144114b5838076f57a66d8.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20f42961f97e2f413abc7e57757d8618e0.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20f42961f97e2f413abc7e57757d8618e0.csv),
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20f42961f97e2f413abc7e57757d8618e0.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20f42961f97e2f413abc7e57757d8618e0.csv),
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20f42961f97e2f413abc7e57757d8618e0.csv),
Por Condição de Pagamento,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Vendas%20f42961f97e2f413abc7e57757d8618e0.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Inativas (Tarefas%2035631d51a2bd48b992678042ebb44814/Inativas%209b54b97e27d54e84b4fd2bca45a9922f.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Inativas (Tarefas%2035631d51a2bd48b992678042ebb44814/Inativas%209b54b97e27d54e84b4fd2bca45a9922f.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Inativas (Tarefas%2035631d51a2bd48b992678042ebb44814/Inativas%209b54b97e27d54e84b4fd2bca45a9922f.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Atendimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Atendimento%20644c3c75e46b42f3b6aef6834ebd1e1d.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Atendimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Atendimento%20644c3c75e46b42f3b6aef6834ebd1e1d.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2060d29d0b8fa945209d0ce7c8cec09726.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2060d29d0b8fa945209d0ce7c8cec09726.csv),
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2060d29d0b8fa945209d0ce7c8cec09726.csv),
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2060d29d0b8fa945209d0ce7c8cec09726.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%202bd3909a8ec04f379a44616570e03244.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%202bd3909a8ec04f379a44616570e03244.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%202bd3909a8ec04f379a44616570e03244.csv),
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%202bd3909a8ec04f379a44616570e03244.csv),
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%202bd3909a8ec04f379a44616570e03244.csv),
Por Condição de Pagamento,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%202bd3909a8ec04f379a44616570e03244.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Comissões Pagas (Tarefas%2035631d51a2bd48b992678042ebb44814/Comisso%CC%83es%20Pagas%20ad0a8546e42b4095bff1ad0e885311f3.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Comissa%CC%83o%2046d5137d677343d89988ed289384b432.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Relatórios em aberto (Tarefas%2035631d51a2bd48b992678042ebb44814/Relato%CC%81rios%20em%20aberto%2061c99b295c4346d7982dcc775fde959c.csv),
Por Funcionáro,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio para Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20para%20Pagamento%20aa5d6b97a337435eb4c655d4b6f1ba22.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total de Comissões como Percentual das Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20de%20Comisso%CC%83es%20como%20Percentual%20das%20Vend%20a481a8f2eacc4a028c17c3197351e6ed.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total de Comissões como Percentual das Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20de%20Comisso%CC%83es%20como%20Percentual%20das%20Vend%20a481a8f2eacc4a028c17c3197351e6ed.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vendas Qualificadas para Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Vendas%20Qualificadas%20para%20Comissa%CC%83o%20b461e4abd67b4497b493ec099d092b10.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Comissões Pagas (Tarefas%2035631d51a2bd48b992678042ebb44814/Comisso%CC%83es%20Pagas%20ad0a8546e42b4095bff1ad0e885311f3.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Comissa%CC%83o%2046d5137d677343d89988ed289384b432.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Relatórios em aberto (Tarefas%2035631d51a2bd48b992678042ebb44814/Relato%CC%81rios%20em%20aberto%2061c99b295c4346d7982dcc775fde959c.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio para Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20para%20Pagamento%20aa5d6b97a337435eb4c655d4b6f1ba22.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Comissões Pagas (Tarefas%2035631d51a2bd48b992678042ebb44814/Comisso%CC%83es%20Pagas%20ad0a8546e42b4095bff1ad0e885311f3.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Comissa%CC%83o%2046d5137d677343d89988ed289384b432.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Relatórios em aberto (Tarefas%2035631d51a2bd48b992678042ebb44814/Relato%CC%81rios%20em%20aberto%2061c99b295c4346d7982dcc775fde959c.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio para Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20para%20Pagamento%20aa5d6b97a337435eb4c655d4b6f1ba22.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total de Comissões como Percentual das Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20de%20Comisso%CC%83es%20como%20Percentual%20das%20Vend%20a481a8f2eacc4a028c17c3197351e6ed.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total de Comissões como Percentual das Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20de%20Comisso%CC%83es%20como%20Percentual%20das%20Vend%20a481a8f2eacc4a028c17c3197351e6ed.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Retorno sobre Investimento de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Retorno%20sobre%20Investimento%20de%20Comissa%CC%83o%20d9c63ee940e8451db1099853587fdb4b.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Retorno sobre Investimento de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Retorno%20sobre%20Investimento%20de%20Comissa%CC%83o%20d9c63ee940e8451db1099853587fdb4b.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Retorno sobre Investimento de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Retorno%20sobre%20Investimento%20de%20Comissa%CC%83o%20d9c63ee940e8451db1099853587fdb4b.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Retorno sobre Investimento de Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Retorno%20sobre%20Investimento%20de%20Comissa%CC%83o%20d9c63ee940e8451db1099853587fdb4b.csv),
Por Representante,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vendas Qualificadas para Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Vendas%20Qualificadas%20para%20Comissa%CC%83o%20b461e4abd67b4497b493ec099d092b10.csv),
Por Agência,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vendas Qualificadas para Comissão (Tarefas%2035631d51a2bd48b992678042ebb44814/Vendas%20Qualificadas%20para%20Comissa%CC%83o%20b461e4abd67b4497b493ec099d092b10.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Crédito Devido (Tarefas%2035631d51a2bd48b992678042ebb44814/Cre%CC%81dito%20Devido%2048d8e61c6c6f4e92802304e140e4967d.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Créditos Gerados (Tarefas%2035631d51a2bd48b992678042ebb44814/Cre%CC%81ditos%20Gerados%20e62b230574be44e6a102a3ee639e0589.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Créditos Gerados (Tarefas%2035631d51a2bd48b992678042ebb44814/Cre%CC%81ditos%20Gerados%20e62b230574be44e6a102a3ee639e0589.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Crédito (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Cre%CC%81dito%2042a5c4499b6a4facb664deb43f21fe56.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio de Crédito (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Cre%CC%81dito%2042a5c4499b6a4facb664deb43f21fe56.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Duração Média do Crédito (Tarefas%2035631d51a2bd48b992678042ebb44814/Durac%CC%A7a%CC%83o%20Me%CC%81dia%20do%20Cre%CC%81dito%208dddf8387c274f1c9d7e203d5507cb59.csv),
Créditos Pagos,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Crédito de Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Cre%CC%81dito%20de%20Cliente%207f2ceec7a40740a2bc8a732de69e2036.csv),Total dos créditos que foram pagos aos clientes.
Por Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Índice Médio  (Tarefas%2035631d51a2bd48b992678042ebb44814/I%CC%81ndice%20Me%CC%81dio%20cd45f207b7c642ec856ff15281b3c0e9.csv),
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Índice Médio  (Tarefas%2035631d51a2bd48b992678042ebb44814/I%CC%81ndice%20Me%CC%81dio%20cd45f207b7c642ec856ff15281b3c0e9.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Índice Médio  (Tarefas%2035631d51a2bd48b992678042ebb44814/I%CC%81ndice%20Me%CC%81dio%20cd45f207b7c642ec856ff15281b3c0e9.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,," Abaixo do Markup desejado (Tarefas%2035631d51a2bd48b992678042ebb44814/Abaixo%20do%20Markup%20desejado%20a7de7128496047ad8bc93290ac1363ba.csv)",
Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,," Abaixo do Markup desejado (Tarefas%2035631d51a2bd48b992678042ebb44814/Abaixo%20do%20Markup%20desejado%20a7de7128496047ad8bc93290ac1363ba.csv)",
Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,," Abaixo do Markup desejado (Tarefas%2035631d51a2bd48b992678042ebb44814/Abaixo%20do%20Markup%20desejado%20a7de7128496047ad8bc93290ac1363ba.csv)",
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Acima do Markup desejado (Tarefas%2035631d51a2bd48b992678042ebb44814/Acima%20do%20Markup%20desejado%20389939462aba4da9a2b58f352f32d518.csv),
Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Acima do Markup desejado (Tarefas%2035631d51a2bd48b992678042ebb44814/Acima%20do%20Markup%20desejado%20389939462aba4da9a2b58f352f32d518.csv),
Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Acima do Markup desejado (Tarefas%2035631d51a2bd48b992678042ebb44814/Acima%20do%20Markup%20desejado%20389939462aba4da9a2b58f352f32d518.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Margem de Lucro (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20de%20Lucro%20a76a822247d344eba6b76625e069821d.csv),
Grupo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Margem de Lucro (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20de%20Lucro%20a76a822247d344eba6b76625e069821d.csv),
Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Margem de Lucro (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20de%20Lucro%20a76a822247d344eba6b76625e069821d.csv),
Total de Lucro,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Mecânica (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Meca%CC%82nica%20c241fa04de0a4f99be5e43b571637ef5.csv),Lucro total obtido através de vendas e ordens de serviço.
